symbol,industry,cap,close_price,1d,2d,3d,4d,5d,6d,7d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,3y,5y
20MICRONS,nan,nan,62.79999923706055,-3.8284895832481403,15.018316835349419,10.078878311824258,28.425352305613877,33.61701965332031,33.901912993346485,34.1880347453718,77.40112014162224,71.35060469974846,53.54522468006443,98.10724834581133,127.53622597492293,88.87217815657309,102.58064270019531,121.9081304950008,107.94701208791639,107.32602254919314,87.71003387359907,92.18597580479842,80.00157011395244,113.89796535266352
3MINDIA,SERVICES,MID_CAP,26092.69921875,2.1708509201482764,0.8058986502255887,-0.04635761292111469,3.9524936647507567,4.1454277965206385,3.158475250157794,4.918471295160739,-5.458324443156474,19.676462794618857,21.596664913334767,16.84937945757663,33.86775037108212,24.25212739183352,26.850173846808573,44.37351797749628,34.433660807195956,26.46131651910675,17.144724368671046,17.314056756999786,137.62868329286576,662.3314357972391
5PAISA,nan,nan,370.8999938964844,-0.33588607295468464,1.035136946278672,3.0707204684026252,4.375963845752389,6.305531781272318,5.519201677520448,2.6428636036145448,32.701250052409435,44.628573305373074,20.461189103232176,4.214667113583272,0.8428510620997057,2.6286663421253627,3.458854643370816,123.29920545899004,150.86234601627453,134.2279631198889,86.19477890496891,124.17648881100507,nan,nan
63MOONS,nan,nan,88.0999984741211,0.628207199533888,2.0857420147294166,0.3988586599670584,0.8009118261112619,0.45610209783128586,2.7405230018904883,1.2643660622081536,21.685078200765407,9.577110450381939,9.169766797667881,11.1057304572739,18.027072309071677,11.037184250421506,25.956120477801182,54.89784438414238,52.534986130772964,-0.4473018132862363,-19.82570901396765,-14.16724309993398,27.837151879367628,-33.39524044855059
AAKASH,nan,nan,53.20000076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.720932006835938,58.80597242668494,260.67797127416577,140.18059448828762,19.28251700234578,9.16552767164944,67.64705988421512,nan,nan
AARON,nan,nan,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.508771929824561,5.000010559776675,23.470800766280245,25.954821996317257,32.5427546523289,11.097951750180021,5.797054763304376,8.71484213149532,nan,nan
AARTIDRUGS,PHARMA,SMALL_CAP,749.2999877929688,-0.9517531007311633,-1.847005000021587,-1.2064110049173355,-0.37228930778615804,-8.342509138474771,-6.138043435960526,-7.681886865722058,7.596203550310794,15.135218476883965,4.120053133194456,5.283121391179601,-23.590913637255646,2.57869478518188,111.18021514817067,199.2971173724332,357.6990099275677,362.16349681810465,389.1665024693353,480.3678364091553,363.4557748448325,3338.3792199353516
AARTIIND,CHEMICALS,MID_CAP,1664.6500244140625,-2.171482822168675,-0.06903736224954078,-4.768305239470108,-4.558094136810713,-2.6520453559027777,-4.360691866640914,-3.6883822668083805,22.788971333599978,35.425487352732574,28.987637939778963,46.59415726607231,66.80838295482894,48.395172939278915,85.86175985982422,85.51045151539576,82.0690683682265,69.65590866497368,93.59871831546788,98.24563941201198,384.2125184873309,3972.7404951223584
AARTISURF,nan,nan,1568.75,0.6318542197495809,5.455097186466344,4.674054254378999,4.3398736282008645,7.122131332973347,6.874001164443603,4.670558798999166,45.54437403472602,74.76187348449028,54.701446564218124,81.89460001113912,195.2663346589975,179.16184107529617,262.9685228348725,nan,nan,nan,nan,nan,nan,nan
AARVI,nan,nan,52.70000076293945,0.9578543921305573,1.4436958402030315,2.131787444470648,0.3809538341703869,3.2321284045799983,1.6393487248463563,7.222785609053071,5.2947084241245275,8.771929686430315,13.945947595544764,35.128207084460136,28.06804084757286,21.986162352011636,70.58852656342688,153.09279087099162,140.1856359139271,140.71936377551415,111.98379162812967,52.78379709676271,nan,nan
AAVAS,FINANCIAL SERVICES,MID_CAP,2309.14990234375,0.5355075065652285,0.8230298700499911,0.4458654328337666,0.43494336710303294,0.5968307505411254,1.0591020236335438,2.649412203416981,-2.8135562986637206,3.2322150135699763,20.878911339624356,51.18173794907332,58.10138818567023,52.06281176743145,79.53970054121334,103.32394132455916,77.49038449990393,20.38108440848589,15.083473827248941,30.221339480826163,nan,nan
ABAN,nan,nan,34.29999923706055,0.14598317389940693,-1.1527421241619071,-1.7192041907890694,-2.418214087963985,-3.5161744777110613,-3.2440098762456278,-6.793478401712301,9.40988459232842,14.715717975472517,15.488209952711884,34.246576365090576,46.268648704133554,18.890810341518534,35.57312360237705,63.72314075394803,45.33897746879808,70.6467591348001,28.224296213310456,29.19020799511719,-86.27176369855694,-89.7412576475589
ABB,INDUSTRIAL MANUFACTURING,MID_CAP,1433.0999755859375,0.26937034010407557,-1.1791460599705152,-1.1552919462050348,0.8692574756950554,2.9673750042318527,2.225547516123007,4.6937210903990945,5.025103690322544,-5.827865673443637,11.240897920261006,34.56234461227615,65.78815553474017,48.67828738420003,59.355038550086206,73.79735727818083,64.03251880303308,26.379903752830103,13.689046483213419,1.3448618303401092,42.405491487327346,129.87422855264248
ABBOTINDIA,PHARMA,LARGE_CAP,16036.7001953125,0.10486834673036674,0.07863521972946266,-0.10682430993053044,-1.1120987574624726,-0.4549956839695841,-0.7531698210864343,-1.0385671378432584,5.393665847216746,7.4932327349399435,3.1236033419129523,5.521270513139989,0.004055803224119971,-4.419408465483188,4.984204658829708,-2.2311594899220273,-1.4153874563578461,5.725256941720732,29.00740558482296,29.67406300952578,250.58512938430732,973.6512002552455
