symbol,1d,2d,3d,4d,5d,6d,7d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,3y,5y
LOKESHMACH,-2.824858757062147,-4.444444444444445,-3.3707865168539324,-2.824858757062147,-3.4792351596071933,-3.4792351596071933,-0.5780346820809248,24.637681159420293,18.94881932222699,19.610567698035574,79.54070409274794,107.72946094275355,79.91632086328994,90.26548351413619,136.91460553034435,155.95239257596302,86.95652173913044,19.610567698035574,23.209163667556908,-36.62490645979781,112.45558053930984
LOTUSEYE,-0.4028212624227361,-6.610009347629142,-5.086368116686101,4.766949075489544,10.99888127899823,9.402654708547429,12.899547087430685,19.73366023349827,36.22590028170961,44.37956427135607,53.333335699037065,60.29173468873586,32.396259124889006,56.487342297429166,101.83673780791614,105.61331530829337,91.29593823289501,95.06903360477375,107.3375260880904,70.3103761326745,522.0483089573576
LOVABLE,-2.066527707085385,3.4060720400019036,4.7439369551255055,7.288788792584111,5.943298537635547,5.540465296077687,6.407446088259975,17.18938448457275,6.174865055605363,2.9676768384112,55.813959748855254,75.20288582360138,39.784174857379725,88.6736777472203,88.31085526109042,69.41460857901231,64.2980690567881,16.573391926202426,48.817079263607226,-58.32072893558832,-62.69134622540399
LPDC,2.3255790743460065,4.761911790117163,2.3255790743460065,7.317077992999332,7.317077992999332,10.000002384185791,12.820512507010424,15.78947764684624,12.820512507010424,25.714288439069477,62.962963617060566,33.33333814987036,51.724136230069654,41.93549131379562,91.30435593862856,131.57895529369247,109.52382358023434,33.33333814987036,25.714288439069477,-35.2941180595477,27.365319262897742
LT,0.44889729219517127,-0.5327064536805495,1.658554173427078,-0.40621688449311194,1.764957071398221,1.8899989068725076,1.0573476702508962,0.4238460581933977,-8.95146302653491,7.91931005932974,24.503218158386737,63.1057090314319,48.30928520316984,58.91141830026553,50.79475361939232,58.32132134952162,26.61650030122843,12.704419799730005,8.888881345934593,69.54095361971187,130.67916259228102
LUMAXIND,-0.9537001365612754,-0.2905492501141518,0.2635856675516174,1.2604653792311562,-0.49795300435313583,-0.11705372793145248,-1.8832772930785322,-1.6999843335880043,3.681319165892311,13.157228797059917,20.329289291003093,18.437934088715817,-3.802560902746039,25.525321394414423,66.61496087923244,41.85422764702088,26.87139584140471,9.388842633112802,29.374437508578684,116.08599332553999,450.65490887312586
LUMAXTECH,-1.2296542121100813,-0.6909068714488636,3.212395995438741,3.9193374387296886,0.22018572606077982,-1.0148560546975889,-0.9430562163208044,-12.858962532807128,2.4765501326512664,1.9790957999013137,28.03563159689556,36.3454827471701,29.862102777193893,52.50467878373095,82.72542205379094,95.28297615050832,54.405840716790145,23.578272589726197,41.16228959203214,71.45701777587418,1079.2310207402857
LUPIN,-0.21128779959368899,1.4660059024476286,1.2740212843646426,2.1935677141438314,-0.6558012927923283,0.5804546192759055,-1.4927814217089543,17.041654694336017,13.249954972654713,15.803654538475714,37.05474360962896,15.437339930805177,23.04470486111111,41.41625882765261,39.73710270492761,49.69428797380964,92.46578876751968,58.10988540765602,50.6992636062375,-18.94823918520586,43.28022788606742
LYKALABS,4.922517480494274,10.143539209685256,15.562249234398672,21.285560193309077,27.323005012529002,33.68176598599647,40.36585179770865,100.17391038977581,86.85065150200613,68.52122010433615,230.74712930322252,178.01930973884805,170.18779952314492,207.75399405927223,257.4534029408946,230.74712930322252,222.40895242110926,169.55502673906193,240.53254755082324,-1.7918076184323573,487.24487874469213
LYPSAGEMS,2.469133331433834,1.2195168755581758,2.469133331433834,0.0,-1.1904694325796505,0.0,-1.1904694325796505,-12.63157693963302,-17.82178339356589,-16.999998092651367,43.10344685839137,40.67796706057456,18.57143129621233,36.06557902454281,31.746030784908758,22.058822910678444,12.16216329417147,-21.69811422606723,1.2195168755581758,-89.28044602861779,-94.14493770391715
M&M,2.3509190231917265,0.6957487411355753,6.595449938576057,8.32771409305462,5.732524298170031,3.51159793814433,2.921389895105871,3.7187665232123126,-12.208318565687524,8.532634305799915,12.248466657966855,26.665610514196747,30.961120399923338,46.63196940532287,66.29475487427008,126.6954815065159,76.01917955251054,41.699613935531886,48.85060929402424,37.68613150293734,87.00142761351532
M&MFIN,3.923478061927925,2.46164082721372,3.054662379421222,6.090696300806943,5.289095409440338,3.387096774193549,2.6256844468617904,-18.0306905370844,-26.625455824896164,-13.261163734776726,3.5875909251728495,23.411623001580523,12.18060423733937,36.04258429436973,69.7903436501675,58.334158136145156,-22.203447861542703,-55.49229122814333,-54.998596671347286,-42.93523808861424,-43.91420304467684
MAANALU,-2.0167579716184916,-5.601812357625059,-7.606813597740629,-6.591758775651529,-2.7806606104182006,-5.791991852552222,-10.801141738726304,24.991654313827574,42.027340460203696,54.07743056072718,152.9411910357138,169.46743921929348,180.6288407302869,252.28427453553564,315.10959201802257,358.7789382129996,252.61168251682605,171.81693807319107,216.8965846620718,390.5332867416755,1269.2012186647003
MADHAV,11.047617594401043,13.867184313130613,15.103647543372691,16.251241202806337,14.313723994236366,5.999998612837358,21.205823464687402,22.478993920045546,13.645224374473294,36.85446320491534,106.00706999565286,129.07661096009707,127.73436862626122,152.92842154772782,189.3300265050472,174.3529375861673,101.73010382906513,61.049718255106924,135.5555524729719,23.16163093678058,292.8568559655274
MADHUCON,0.0,0.0,-1.8181800842285156,0.9345830210495534,5.88235679107286,10.204081434053666,11.34021034123156,6.930690919075733,-1.8181800842285156,-9.243692966868071,68.75000046566127,86.20689371678274,89.47369389696938,107.69231897839468,191.89189328513413,184.21053490150018,107.69231897839468,47.94520422673671,38.46153752103127,-86.38753009388098,-49.42951457496864
MADRASFERT,4.9657493757026,4.78632348215478,3.898303791628045,6.055363401727952,2.3372248339205677,5.326457789490457,9.464284351893834,18.79845164686252,23.340036812979363,39.635528716153686,84.08408601054253,68.8705248634722,60.052220517394474,71.22905179730317,102.31023359922486,95.22292987827046,118.14946051560995,39.954338595496374,56.377546030598346,99.02597647892287,126.19925599327995
MAGMA,-1.8558863946456086,0.8224344699182243,0.9734204582938057,2.159095532966383,-0.4797002926083948,4.494384280976435,-0.18504810414919323,15.010666186367272,18.653765326003384,219.5497717192994,211.7919216266257,285.836918912199,251.6297561120206,463.0480242496873,826.8041535104948,651.2534839660524,226.1185273994908,96.57435729300624,170.78314893459256,30.2165167321578,116.22511018879844
