symbol,1d,2d,3d,4d,5d,6d,7d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,3y,5y
SUNDARMHLD,-0.7235890174256038,0.14598317389940693,-0.938630362280009,-1.1527421241619071,-2.0000021798270087,-1.7895490727363663,-3.2440098762456278,-12.05128400753706,-13.493069566028895,-10.032788886398565,20.881054579949062,17.064846860731908,12.366911271765098,40.286291070597485,39.973811163748415,45.26137604568472,18.68197124863676,-5.214262906653716,3.879579002725708,nan,nan
SUNDRMBRAK,1.5660322816393624,2.433129897283249,2.476871802713523,5.325533930367593,7.495895369867846,10.177532524525688,9.257853656060377,3.7319919904989196,-1.2482819733796295,12.011826783996234,23.992431051610765,58.63817624043064,32.043288388755876,66.72071439687637,93.00268751047251,99.69487501083564,39.05737056969013,12.37902776308907,50.386464603371586,-18.01616621914965,127.88858446447541
SUNDRMFAST,-1.2487446525459098,-1.871264178624751,0.8800155088181421,9.13537480773004,6.361675509850919,5.433250186008812,3.877775014791504,-2.4325243120750115,11.102306809549475,33.052116370532914,44.68833942763908,69.35501458365022,59.21941241041687,92.15994809887545,139.7901210705227,124.70829895591578,80.78245601363606,45.42874410742419,60.92180149400544,164.31613390692635,1718.2567615472585
SUNFLAG,-3.908598845892381,-1.9030024314773561,-2.6796552851772013,1.5893197403037578,-3.3857261495616005,-7.469597061052917,-10.526317138455992,21.891682389076987,25.826774056502217,16.13371799674287,46.60550738693377,82.21209647939533,70.72650177012552,105.13478808940866,163.69638131261596,181.83421675755446,122.56266888535401,78.14939630818944,148.13664482219423,120.67516447671672,429.6203724242623
SUNPHARMA,-2.3528644091121995,-0.5718025878447265,-0.04366569416640183,-0.6652739228987713,-2.276445977914625,-3.000988664406616,-1.6256139247571684,12.820300485865118,10.559352206991953,14.815539212730467,37.675984698902944,32.198907058118955,31.9345710231546,40.20887395018709,45.78896055755904,46.635852334614356,87.86850915540431,53.80236607460132,52.87756956541762,5.164143665470863,28.585496125986786
SUNTECK,0.21206392135160804,2.3832923567083433,1.5036150310729863,-2.0169674282811028,-4.815965751463402,-2.567949804504452,-3.1488772181252234,-5.713767585249664,-27.69509387391796,-26.88142214914145,-3.758561138786561,1.4243878620426829,1.4659806003747249,54.05357811667197,60.68565149372943,30.37669135506119,-22.550800896498448,-35.3440047118598,-30.897941836281635,167.85668961341736,59.93461320040384
SUNTV,-1.6331916665415867,0.12420453699930703,-0.1334118907462586,0.4793863854266539,-0.4937287706944076,1.0412697007864897,3.7110341415141015,11.691358162016305,-0.23798191337458352,7.556489539721172,23.382111035644964,13.399950770997895,9.075279615099095,39.55536843884792,31.443100999271607,41.288170091865446,33.92346571793729,15.422156503532051,15.066573418400484,22.990113118689347,77.33707759567132
SUPERHOUSE,1.0188052021230525,2.3015824575272816,2.099005066522277,3.4925658274925024,2.9552692000238387,2.9552692000238387,2.3421969191904446,4.457044005345522,3.2025559021123646,0.5068178530092593,22.52851486288774,45.814470216665306,21.42875162151834,57.46756454377113,71.83010897238553,92.86272817660763,58.62048310806085,33.18595138492601,43.87325322955608,-12.322276111258551,nan
SUPERSPIN,5.000003178914389,2.4390259031121184,5.000003178914389,4.132231274684204,-0.7873970810807158,4.132231274684204,5.000003178914389,44.827593766740684,31.249998758236618,20.000003633045015,61.53846247896874,61.53846247896874,36.95652872493015,51.80723002313752,85.29411805954771,90.90909944749744,113.55932504752006,65.78948078393285,48.2352986055262,-51.538460071270286,26.000003814697266
SUPPETRO,0.3876821250207153,4.647515336442494,0.6188456471483577,-0.028591002910592026,-1.4379293047059927,-0.8227516409015108,-0.40597942819622507,64.99115620390855,78.62801106710555,99.8713690144148,119.23801749617095,193.4792008900037,212.33841660268044,302.63195194725483,340.2703647221755,326.2456729588054,368.660955868161,283.6439610912756,345.19876225220975,281.1959668324247,1309.0878400793797
SUPRAJIT,0.8485762971121956,2.3736529095331442,6.047987455538315,9.053832473304741,4.924460463960579,4.678018043062818,6.0059440620354305,-5.7621166884636565,3.8446578238774274,34.35812336689183,37.77489507281516,35.478063846985926,39.169087693080215,70.59723204228365,126.31125457837851,120.81419877935768,39.03398565590109,30.250241706178045,52.84654828693205,38.94712955508409,558.5861706241608
SUPREMEENG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857141040620349,12.128706747802632,38.95705937845707,44.72843559505074,-5.625001589457193,26.890751453672106,-19.680854589560905,5.348835435024528,-3.2051282573786066,nan,nan
SUPREMEIND,-1.0660557288380412,-2.13986322523715,2.863768115942029,4.50187523976095,2.9521026986243406,0.4006110063812637,3.1891902759006636,10.40043533478696,16.20474965896162,26.866094952448925,36.282642089093706,66.99076488717924,67.2417176495624,94.89809173197557,109.45148980901492,125.48236483112392,70.10839463962387,73.97286021021489,98.74356320609488,168.1294817415952,442.05104702524005
SURANASOL,2.061853744307326,3.1249919285380074,8.196721653202314,5.882344541403029,5.319149152031316,6.451606618171474,7.6086937367126986,12.499993226745058,13.793101558314829,-29.285717010498047,41.428565979003906,43.47825335795287,37.49999834431538,34.69387410863077,63.63635217220993,76.78571048439758,54.68749173451227,11.235955537772684,66.3865535443267,-57.87234204880735,23.03894970372472
SURANAT&P,2.222220102945964,3.3707888044202488,4.545450112051311,1.098894764873179,0.0,2.222220102945964,-3.157896744577508,12.195122234882314,-1.0752728969764116,-33.333335636894454,19.480519963066794,19.480519963066794,19.480519963066794,21.05263058828844,39.39393851820539,48.387098262759125,27.777778513637607,22.666664123535156,29.577463842814588,-8.000001907348633,78.59182380779637
SURYALAXMI,-1.567398169104698,3.176334939266512,8.275858561197918,13.630874806239612,19.24050246612935,25.09959247079097,31.197761761008696,53.42018665673602,66.43109450137659,34.18803567426787,169.14284842354908,159.50412927851673,154.5945863466005,162.39552352201738,185.4545362067945,199.047609359499,155.9782578836992,101.28204804252638,166.1016748244431,-62.37583581104067,8.20137280198936
SURYAROSNI,2.5420903791816585,7.747456168563181,11.632918912891272,8.728119929167882,3.9375334961482156,7.734993813213091,4.849777764591382,32.170211034463655,30.632273060324007,28.595089592637912,74.59246139786629,130.304809023315,162.11870174537353,309.9427959887846,437.1503635365992,418.08164413922384,212.762166757269,155.7583061791572,181.40240657075785,153.09552987455479,568.0598683012897
